slidingWindow,targetArea,4,4,4,8,8,8,16,16,16,20,20,20,28,28,28,40,40,40
targetHorizon,,3,6,12,3,6,12,3,6,12,3,6,12,3,6,12,3,6,12
Model Combination,,,,,,,,,,,,,,,,,,,
Base vs. Base + own EPU,East North Central,0.8014886077999936,0.16389039276486927,0.8821157201854398,0.3045205974272333,7.743702339907635e-05,0.22259443332071183,0.30348497779481465,0.9999313236740545,0.9838094284587955,0.9528513224883683,0.9791224331514838,0.8451839981518585,0.0015885492998052662,0.8578362355848694,0.42646352246858654,0.9040742295947214,0.6633851753983226,0.25889743357814154
Base vs. Base + own EPU,East South Central,0.030580258925024497,0.9336983024760668,0.9999813815996818,0.7053569576309237,0.8592012921531524,0.16655741173228372,0.5663612710846783,0.12400993260076631,0.875030298520846,0.9270563400784873,0.9993935220702933,0.08804610479459762,0.4994405193226798,0.2572354340529041,0.15731001803276468,0.5929164256710502,0.7387373945690389,0.5771414353188381
Base vs. Base + own EPU,Middle Atlantic,0.9920635205823626,0.05552243460609363,0.9863918254514064,0.9905138898430788,0.29631922320564974,0.9651837999774172,0.9754061469708918,0.8934595912487548,0.6659649517916637,0.05798122641325148,0.9816124149347779,0.6427536130818676,0.9798515486093372,0.7011429913395473,0.25529910387994237,0.05385115206397128,0.09594088009513813,0.0013708679912736819
Base vs. Base + own EPU,Mountain,0.15092523434148641,0.9726980311410791,0.8131695850306093,0.17772121171923394,0.4843953376961957,0.6277486932148031,0.9968041617501799,0.8652986659573219,0.6445015012073241,0.5367931122952448,0.8390035519837387,0.7725732866738542,0.7236185438830459,0.4221415116804528,0.9570060776695368,0.026417023427830064,0.7516167701004683,0.8739651375912698
Base vs. Base + own EPU,New England,0.797259859393993,0.3279920939107228,0.16270154670025222,0.7891476966223394,0.9597636538056464,0.059887307367102974,0.10494768671945481,0.8725542415485309,0.8440948152849659,0.9402734719967,0.004058480084540256,0.9797100020775518,0.9860823747722829,0.9998255815064064,0.998492985093598,0.9299938217926897,0.8851794428530552,0.9996714297067812
Base vs. Base + own EPU,Pacific,0.03615563816243914,0.7260136981576799,0.99999980116628,0.9992707672692115,0.05447109809520825,0.9997424722628063,0.9947012419085439,0.887438291697427,0.5921258567517205,0.9999706044871135,0.5434438692334587,0.006426094025647293,0.9796643951108477,0.6586476361622877,0.7329394721015696,0.9481133530895891,0.03921656452787579,0.9868492394401076
Base vs. Base + own EPU,South Atlantic,0.21759416776003365,0.7945087989480915,0.997734967525419,0.9761600824710145,0.016011834446609873,0.9966553264037954,0.9463920619362486,0.024915108097634336,0.31110818913551896,0.08503021987138504,0.2752903122154132,0.9894958667468028,0.19591045921762057,0.17159615305066017,0.8513738559168953,0.07482649318180463,0.891738113119312,0.5966234644033507
Base vs. Base + own EPU,West North Central,0.14744866872889717,0.9907708236243903,0.47184662837362035,0.8893740892753306,0.03066175215987876,0.3654033173280551,0.007325257401710209,0.9985529533940684,0.10163428374419575,0.1222632846345047,0.9508273869217695,0.9831459150062394,0.042531298288531395,0.33782778580130013,0.008733020810004327,0.0892279507686124,0.15361982390664053,0.0343576790017042
Base vs. Base + own EPU,West South Central,0.9235768781416079,0.48050183754210785,0.2966137745094707,0.8063027906449873,0.20665911794203157,0.3672617833084061,0.6415280361004414,0.15087810061799267,0.958425643503595,0.7929535235843468,0.6803259012082657,0.9408698900974719,0.003478415083157792,0.21037188451505417,0.8346342681376131,0.1353449053098506,0.992624438236753,0.6856892972744081
Base + own EPU vs. Base + all EPUs,East North Central,0.6859797829814442,0.38822204898030194,0.8334079313279353,0.7275546934177582,0.9506608534151866,0.9827338327203927,0.0011637155646445337,0.20706285707577604,0.8938737429803427,0.5074242422374667,0.02592411373456237,0.46270842906835735,0.996459598422615,0.6768287918422244,0.8625329966433852,0.8684503707349822,0.007803168501492459,0.5670076901443233
Base + own EPU vs. Base + all EPUs,East South Central,0.9856644908090357,0.23106415400554076,0.00022729761550544173,0.6216999899343785,0.40496518759011757,0.989745144236235,0.6773017694443799,0.8545269318920952,0.07013020909949766,0.010053826028076205,0.8321431647767676,0.9935141858805722,0.1107889309426619,0.936104659682845,0.9999993490350796,0.9861303175090649,0.12544991283295553,0.31351005618943384
Base + own EPU vs. Base + all EPUs,Middle Atlantic,0.4165514280268059,0.9882658881701841,0.686370218594407,0.03507569351432063,0.759770143626923,0.3360259495089511,0.03348709928314099,0.5198867195680508,0.9349023026206994,0.9712701773316077,0.022229742880082053,0.9959954931115196,0.9823086830381152,0.04189861289452707,0.9558634681973951,0.8469906584442379,0.9537720786944862,0.6962300560895788
Base + own EPU vs. Base + all EPUs,Mountain,0.8119319841295372,0.4568411046564366,0.9969467372435029,0.8436517165276387,0.9390837208555705,0.9848159165053387,0.14769154664155626,0.7885642470970493,0.41840593703118945,0.014703367635375306,0.9378091602492211,0.24331306765999522,0.912502515660514,0.9396777487760913,0.6524513055122627,0.9994111950952616,0.6499388339799838,0.7864168424909739
Base + own EPU vs. Base + all EPUs,New England,0.9921915438315988,0.9059946253492608,0.7587068343964953,0.9095330609624002,0.9840044223528858,0.9997562145717402,0.8403598461351951,0.9659462114620704,0.10919938203756341,0.04597328020537636,0.23076660165499002,0.000978425474765023,0.6166513859550371,0.006051607190591883,0.26332671530791585,0.01616134991020563,0.6540223364798795,0.038293421097734134
